radius_mean,symmetry_mean,predicted
17.99,0.2419,0.18560130712381206
20.57,0.1812,0.18856652356815035
19.69,0.2069,0.18755513191271714
11.42,0.2597,0.17805034896904373
20.29,0.1809,0.18824471713233068
12.45,0.2087,0.17923413692938034
18.25,0.1794,0.18590012738564463
13.71,0.2196,0.18068226589056877
13.0,0.235,0.17986625671402606
12.46,0.203,0.1792456300163739
16.02,0.1528,0.18333716898608093
15.78,0.1842,0.1830613348982355
19.17,0.2397,0.18695749138905204
15.85,0.1847,0.18314178650719043
13.73,0.2069,0.1807052520645559
14.54,0.2303,0.18163619211103418
14.68,0.1586,0.181797095328944
16.13,0.2164,0.18346359294301007
19.81,0.1582,0.18769304895663985
13.54,0.1885,0.18048688341167826
13.08,0.1967,0.17995820140997454
9.504,0.1815,0.17584827350107782
15.34,0.2521,0.18255563907051892
21.16,0.1769,0.18924461570077034
16.65,0.1995,0.18406123346667516
17.14,0.304,0.18462439472935954
14.58,0.2252,0.18168216445900842
18.61,0.1697,0.18631387851741274
15.3,0.1926,0.18250966672254468
17.57,0.1739,0.1851185974700826
18.63,0.2183,0.18633686469139987
11.84,0.2301,0.17853305862277322
17.02,0.2248,0.18448647768543686
19.27,0.1853,0.18707242225898765
16.13,0.1998,0.18346359294301007
16.74,0.1896,0.1841646712496172
14.25,0.1885,0.18130289258822097
13.03,0.1467,0.17990073597500675
14.99,0.1565,0.18215338102574435
13.48,0.172,0.18041792488971692
13.44,0.1784,0.18037195254174268
10.95,0.1895,0.17751017388034646
19.07,0.231,0.18684256051911646
13.28,0.1974,0.18018806314984573
13.17,0.1746,0.1800616391929166
18.65,0.1907,0.18635985086538698
8.196,0.1769,0.17434497772232027
13.17,0.2128,0.1800616391929166
12.05,0.1675,0.17877441344963796
13.49,0.1809,0.18042941797671047
11.76,0.1495,0.17844111392682474
13.64,0.1353,0.18060181428161387
11.94,0.1868,0.1786479894927088
18.22,0.2092,0.18586564812466394
15.1,0.1616,0.1822798049826735
11.52,0.192,0.17816527983897934
19.21,0.1917,0.1870034637370263
14.71,0.2027,0.1818315745899247
13.05,0.1819,0.17992372214899388
8.618,0.1683,0.17482998599344846
10.17,0.2743,0.17661371309484886
8.598,0.1828,0.17480699981946135
14.25,0.1949,0.18130289258822097
9.173,0.2341,0.175467852321591
12.68,0.1905,0.1794984779302322
14.78,0.1953,0.1819120261988796
9.465,0.1717,0.17580345046180293
11.31,0.1516,0.1779239250121146
9.029,0.2111,0.17530235186888374
12.78,0.159,0.17961340880016777
18.94,0.1582,0.1866931503882002
8.888,0.1902,0.17514029934227457
17.2,0.1927,0.1846933532513209
13.8,0.1662,0.18078570367351082
12.31,0.172,0.1790732337114705
16.07,0.1798,0.18339463442104872
13.53,0.2403,0.1804753903246847
18.05,0.2152,0.18567026564577344
20.18,0.2906,0.18811829317540152
12.86,0.1718,0.17970535349611624
11.45,0.1842,0.17808482823002442
13.34,0.1942,0.1802570216718071
25.22,0.1829,0.19391080902015534
19.1,0.1634,0.18687703978009715
12.0,0.2079,0.17871694801467017
18.46,0.2132,0.18614148221250937
14.48,0.2075,0.18156723358907284
19.02,0.1953,0.18678509508414867
12.36,0.193,0.17913069914643828
14.64,0.2116,0.18175112298096976
14.62,0.1685,0.18172813680698266
15.37,0.1717,0.1825901183314996
13.27,0.1386,0.18017657006285218
13.45,0.1638,0.18038344562873623
15.06,0.1855,0.18223383263469925
20.26,0.2095,0.18821023787135
12.18,0.19,0.17892382358055423
9.787,0.135,0.17617352786299553
11.6,0.162,0.1782572245349278
14.42,0.1879,0.18149827506711147
13.61,0.1609,0.18056733502063319
6.981,0.193,0.17294856765260283
12.18,0.1739,0.17892382358055423
9.876,0.1945,0.1762758163372382
10.49,0.2217,0.17698149187864273
13.11,0.1925,0.17999268067095522
11.64,0.1801,0.17830319688290203
12.36,0.1602,0.17913069914643828
22.27,0.2556,0.1905203483570554
11.34,0.1487,0.17795840427309526
9.777,0.1584,0.17616203477600198
12.63,0.1735,0.1794410124952644
14.26,0.1704,0.18131438567521452
10.51,0.1922,0.17700447805262987
8.726,0.1649,0.17495411133297892
11.93,0.1688,0.17863649640571524
8.95,0.1305,0.17521155648163464
14.87,0.2157,0.18201546398182164
15.78,0.2096,0.1830613348982355
17.95,0.2129,0.18555533477583785
11.41,0.1667,0.17803885588205018
18.66,0.1966,0.18637134395238053
24.25,0.2655,0.1927959795817801
14.5,0.1856,0.18159021976305995
13.37,0.1422,0.18029150093278776
13.85,0.1614,0.1808431691084786
13.61,0.1761,0.18056733502063319
19.0,0.1946,0.18676210891016154
15.1,0.2001,0.1822798049826735
19.79,0.2202,0.18767006278265272
12.19,0.188,0.17893531666754778
15.46,0.1931,0.18269355611444163
16.16,0.216,0.18349807220399075
15.71,0.1816,0.1829808832892806
18.45,0.1692,0.1861299891255158
12.77,0.1585,0.17960191571317421
11.71,0.1339,0.17838364849185695
11.43,0.1734,0.17806184205603728
14.95,0.1957,0.18210740867777012
11.28,0.1771,0.1778894457511339
9.738,0.1903,0.1761172117367271
16.11,0.1861,0.18344060676902296
11.43,0.1645,0.17806184205603728
12.9,0.1778,0.17975132584409048
10.75,0.1399,0.17728031214047527
11.9,0.1995,0.17860201714473456
11.8,0.2678,0.17848708627479898
14.95,0.1744,0.18210740867777012
14.44,0.1724,0.1815212612410986
13.74,0.1473,0.18071674515154945
13.0,0.254,0.17986625671402606
8.219,0.2222,0.17437141182240545
9.731,0.2548,0.1761091665758316
11.15,0.183,0.17774003562021765
13.15,0.1822,0.18003865301892946
12.25,0.197,0.17900427518950915
17.68,0.1971,0.18524502142701174
16.84,0.1844,0.18427960211955277
12.06,0.159,0.1787859065366315
10.9,0.1442,0.17745270844537867
11.75,0.1993,0.1784296208398312
19.19,0.1741,0.18698047756303918
19.59,0.2027,0.18744020104278153
12.34,0.1551,0.17910771297245118
23.27,0.1801,0.1916696570564113
14.97,0.1515,0.18213039485175722
10.8,0.1381,0.17733777757544306
16.78,0.1893,0.18421064359759143
17.47,0.1538,0.185003666600147
14.97,0.178,0.18213039485175722
12.32,0.1959,0.17908472679846404
13.43,0.1598,0.18036045945474913
15.46,0.1966,0.18269355611444163
11.08,0.1566,0.17765958401126272
10.66,0.1928,0.17717687435753324
8.671,0.1722,0.17489089935451432
9.904,0.1669,0.17630799698082017
16.46,0.1794,0.18384286481379752
13.01,0.1395,0.17987774980101964
12.81,0.1466,0.17964788806114845
27.22,0.18,0.19620942641886716
21.09,0.2395,0.1891641640918154
15.7,0.1618,0.18296939020228703
11.41,0.1167,0.17803885588205018
15.28,0.1727,0.18248668054855754
10.08,0.1703,0.1765102753119068
18.31,0.1621,0.18596908590760597
11.71,0.1516,0.17838364849185695
11.81,0.1718,0.17849857936179253
12.3,0.1667,0.17906174062447694
14.22,0.2384,0.18126841332724028
12.77,0.1694,0.17960191571317421
9.72,0.1653,0.17609652418013869
12.34,0.1943,0.17910771297245118
14.86,0.1737,0.18200397089482806
12.91,0.1829,0.17976281893108403
13.77,0.1834,0.18075122441253014
18.08,0.177,0.18570474490675412
19.18,0.1767,0.18696898447604562
14.45,0.195,0.18153275432809216
12.23,0.1979,0.17898128901552202
17.54,0.1506,0.18508411820910192
23.29,0.22,0.19169264323039842
13.81,0.2251,0.18079719676050438
12.47,0.1925,0.17925712310336744
15.12,0.1594,0.18230279115666062
9.876,0.1934,0.1762758163372382
17.01,0.2026,0.1844749845984433
13.11,0.185,0.17999268067095522
15.27,0.1359,0.182475187461564
20.58,0.1765,0.1885780166551439
11.84,0.1533,0.17853305862277322
28.11,0.1648,0.19723231116129392
17.42,0.1308,0.1849462011651792
14.19,0.2235,0.18123393406625962
13.86,0.2106,0.18085466219547217
11.89,0.1967,0.178590524057741
10.2,0.1964,0.17664819235582951
19.8,0.2094,0.18768155586964627
19.53,0.1428,0.18737124252082019
13.65,0.136,0.18061330736860742
13.56,0.1962,0.1805098695856654
10.18,0.191,0.1766252061818424
15.75,0.1935,0.18302685563725485
